B2,B3,B4,B5,B6,B7
20180717-200206_41_live,user_1843,0,,0.5,10
20180717-200206_41_live,user_1494,1,0.5,0.5,10
20180719-120436_413_live,user_1556,0,,0,10
20180719-120436_413_live,user_1363,1,,0,10
20180719-122534_38_live,user_83,0,,0,11
20180719-122534_38_live,user_1222,1,5,0.5,11
20180719-165941_192_live,user_1363,0,,0,10
20180719-165941_192_live,user_845,1,50,0,10
20180719-175233_833_live,user_1363,0,,0,10
20180719-175233_833_live,user_324,1,,0.05,10
20180719-181845_211_live,user_1273,0,20,0,11
20180719-181845_211_live,user_1363,1,20,0,11
20180719-182453_233_live,user_911,0,,0,10
20180719-182453_233_live,user_454,1,10,0,10
20180719-202443_897_live,user_1363,0,,0,10
20180719-202443_897_live,user_1762,1,1,1,10
20180719-204358_391_live,user_1363,0,,0,10
20180719-204358_391_live,user_685,1,0.5,0,10
20180719-210146_172_live,user_2032,0,,0.25,10
20180719-210146_172_live,user_446,1,2,0,10
20180719-211253_768_live,user_1363,0,,0,11
20180719-211253_768_live,user_1259,1,0.5,0.5,11
20180719-211301_463_live,user_1842,0,,0,11
20180719-211301_463_live,user_2118,1,5,0,11
20180719-211846_176_live,user_431,0,,0,10
20180719-211846_176_live,user_473,1,1.5,0,10
20180723-025150_733_live,user_219,0,,0.2,10
20180723-025150_733_live,user_1042,1,0.2,0.2,10
20180723-031022_254_live,user_977,0,,0,10
20180723-031022_254_live,user_1009,1,5,1,10
20180723-034109_263_live,user_2071,0,,0,11
20180723-034109_263_live,user_1065,1,1,1,11
20180723-034654_121_live,user_1588,0,,0,11
20180723-034654_121_live,user_1244,1,1,0,11
20180723-040634_575_live,user_512,0,,0,10
20180723-040634_575_live,user_1690,1,1.25,1.25,10
20180723-042226_724_live,user_1042,0,,0,11
20180723-042226_724_live,user_527,1,,0.5,11
20180723-042342_809_live,user_1174,0,,0,11
20180723-042342_809_live,user_764,1,,0,11
20180723-042344_940_live,user_2219,0,,0,10
20180723-042344_940_live,user_1580,1,0.1,0,10
20180723-042421_113_live,user_910,0,36,0.5,10
20180723-042421_113_live,user_178,1,36,0,10
20180723-044617_32_live,user_185,0,,0,11
20180723-044617_32_live,user_1367,1,,0.5,11
20180723-052203_936_live,user_1380,0,,0,10
20180723-052203_936_live,user_1217,1,1,0.5,10
20180723-055038_776_live,user_1442,0,0.5,0,11
20180723-055038_776_live,user_284,1,0.5,0.5,11
20180723-061928_535_live,user_406,0,,0,11
20180723-061928_535_live,user_1347,1,125,100,11
20180723-062856_180_live,user_60,0,,0,11
20180723-062856_180_live,user_1438,1,,0.1,11
20180723-064603_378_live,user_295,0,,0,10
20180723-064603_378_live,user_922,1,,0,10
20180723-070336_48_live,user_1363,0,,0,10
20180723-070336_48_live,user_536,1,0,0,10
20180723-072435_196_live,user_1363,0,,0,10
20180723-072435_196_live,user_60,1,,0.01,10
20180723-073352_280_live,user_1158,0,,0,11
20180723-073352_280_live,user_1438,1,0.05,0.05,11
20180723-073908_711_live,user_906,0,,0,10
20180723-073908_711_live,user_496,1,0.5,0.5,10
20180723-074147_879_live,user_1363,0,,0,10
20180723-074147_879_live,user_60,1,0.005,0,10
